Fecha;Hora;name;stationId;Dir Viento;Humedad;Rad Solar;Temperatura 8M;Temperatura;Vel Viento;Presion Baro;Lluvia
2025-11-07;09:23;Usme;32;;;322.0;;17.2;;563.0;0.0
2025-11-07;09:23;Jazmin;34;17.0;65.0;634.0;;16.6;1.4;565.0;0.0
2025-11-07;09:23;Ciudad Bolivar;37;;;496.0;;15.7;;558.0;0.0
2025-11-07;09:23;Colina;38;271.0;;53.0;;14.8;0.9;562.0;0.3
2025-11-07;09:23;Movil Fontibon;39;;;631.0;;15.9;;566.0;
2025-11-07;10:24;Usaquen;1;323.0;;;;18.9;1.3;;0.0
2025-11-07;10:24;Carvajal - Sevillana;3;159.0;;;;21.9;1.3;;0.0
2025-11-07;10:24;Tunal;4;205.0;43.0;912.0;;;1.5;564.0;0.0
2025-11-07;10:24;Centro de Alto Rendimiento;5;305.0;41.0;638.0;;20.0;0.6;566.0;0.0
2025-11-07;10:24;Las Ferias;6;1.0;44.0;;;21.4;1.7;565.0;0.0
2025-11-07;10:24;Guaymaral;8;328.0;52.0;591.0;18.9;20.5;1.6;565.0;0.0
2025-11-07;10:24;Kennedy;9;174.0;46.2;615.0;;;1.7;;0.0
2025-11-07;10:24;Suba;11;8.0;;;;19.7;1.7;;0.0
2025-11-07;10:24;Puente Aranda;13;344.0;55.0;513.0;;18.9;1.2;564.0;0.0
2025-11-07;10:24;MinAmbiente;17;-9999.0;;;;;-9999.0;;0.0
2025-11-07;10:24;San Cristobal;24;55.0;49.0;585.0;;19.0;0.8;;0.0
2025-11-07;10:24;Movil 7ma;26;33.0;40.9;682.0;;-47.8;0.5;563.0;0.0
2025-11-07;10:24;Bolivia;27;342.0;63.0;824.0;;17.5;1.5;566.0;0.0
2025-11-07;10:24;Fontibon;30;47.0;47.0;;;19.3;1.0;565.0;0.0
2025-11-07;10:24;Usme;32;;;502.0;;18.9;;563.0;0.0
2025-11-07;10:24;Jazmin;34;320.0;53.0;704.0;;18.8;1.1;565.0;0.0
2025-11-07;10:24;Ciudad Bolivar;37;;;682.0;;18.9;;558.0;0.0
2025-11-07;10:24;Colina;38;271.0;;53.0;;14.8;0.9;562.0;0.3
2025-11-07;10:24;Movil Fontibon;39;;;838.0;;18.6;;566.0;
2025-11-07;11:26;Usaquen;1;267.0;;;;21.3;1.2;;0.0
2025-11-07;11:26;Carvajal - Sevillana;3;230.0;;;;22.3;2.7;;0.0
2025-11-07;11:26;Tunal;4;167.0;37.0;1071.0;;;2.3;564.0;0.0
2025-11-07;11:26;Centro de Alto Rendimiento;5;123.0;39.0;801.0;;20.1;1.9;565.0;0.0
2025-11-07;11:26;Las Ferias;6;45.0;38.0;;;22.5;2.6;564.0;0.0
2025-11-07;11:26;Guaymaral;8;92.0;45.0;435.0;20.4;21.7;1.5;564.0;0.0
2025-11-07;11:26;Kennedy;9;174.0;46.2;615.0;;;1.7;;0.0
2025-11-07;11:26;Suba;11;336.0;;;;21.9;1.0;;0.0
2025-11-07;11:26;Puente Aranda;13;117.0;48.0;493.0;;20.1;1.8;564.0;0.0
2025-11-07;11:26;MinAmbiente;17;-9999.0;;;;;-9999.0;;0.0
2025-11-07;11:26;San Cristobal;24;154.0;43.0;766.0;;20.3;2.2;;0.0
2025-11-07;11:26;Movil 7ma;26;255.0;35.9;758.0;;-48.1;0.5;563.0;0.0
2025-11-07;11:26;Bolivia;27;104.0;59.0;737.0;;19.2;1.8;565.0;0.0
2025-11-07;11:26;Fontibon;30;68.0;42.0;;;20.4;2.2;565.0;0.0
2025-11-07;11:26;Usme;32;;;670.0;;19.4;;563.0;0.0
2025-11-07;11:26;Jazmin;34;150.0;46.0;819.0;;20.3;1.9;564.0;0.0
2025-11-07;11:26;Ciudad Bolivar;37;;;762.0;;19.5;;558.0;0.0
2025-11-07;11:26;Colina;38;271.0;;53.0;;14.8;0.9;562.0;0.3
2025-11-07;11:26;Movil Fontibon;39;;;896.0;;20.9;;565.0;
2025-11-07;12:20;Usaquen;1;194.0;;;;22.5;1.8;;0.0
2025-11-07;12:20;Carvajal - Sevillana;3;259.0;;;;23.2;2.2;;0.0
2025-11-07;12:20;Tunal;4;192.0;39.0;449.0;;;1.7;563.0;0.0
2025-11-07;12:20;Centro de Alto Rendimiento;5;108.0;37.0;532.0;;20.7;1.2;565.0;0.0
2025-11-07;12:20;Las Ferias;6;69.0;33.0;;;24.3;2.1;564.0;0.0
2025-11-07;12:20;Guaymaral;8;24.0;40.0;440.0;21.0;22.4;2.1;564.0;0.0
2025-11-07;12:20;Kennedy;9;174.0;46.2;615.0;;;1.7;;0.0
2025-11-07;12:20;Suba;11;64.0;;;;22.7;1.0;;0.0
2025-11-07;12:20;Puente Aranda;13;127.0;44.0;657.0;;21.0;1.9;563.0;0.0
2025-11-07;12:20;MinAmbiente;17;-9999.0;;;;;-9999.0;;0.0
2025-11-07;12:20;San Cristobal;24;132.0;42.0;525.0;;20.7;1.4;;0.0
